text,labels
During this week the tone is overwhelmed right now.,emotional
In this situation You handled this in a very nice way today.,nice
During this week You handled this in a very nice way for this case.,nice
In this project the tone is conflict for this case.,fight
From my perspective the tone is expecting for this release.,hopeful
During this week. the tone feels fight. the tone feels afraid today.,"fear,fight"
In this situation. This result brings joy and excitement. We are thankful and grateful for your help. She stayed calm during the crisis for our team.,"calm,grateful,joy"
In today's discussion the tone is overreaction for this case.,drama
In this project the tone is stuck for this case.,frustrated
In this situation. I love how you supported me today. the tone feels anxious for this case.,"love,worried"
In today's discussion The discussion turned into unnecessary drama right now.,drama
In this project I feel sick and weak today for this release.,sick
In today's discussion the tone is dramatic for our team.,drama
From my perspective. I am tensed and cannot relax. I feel sick and weak today today.,"sick,tensed"
During this week I am worried about the final result right now.,worried
From my perspective. We remain hopeful about recovery. the tone feels emotional right now.,"emotional,hopeful"
From my perspective the tone is dramatic for this case.,drama
From my perspective I feel sick and weak today today.,sick
During this week the tone is nausea today.,sick
During this week. I feel sick and weak today. the tone feels hopeful right now.,"hopeful,sick"
In today's discussion I am scared this situation may get worse for this release.,fear
In today's discussion This makes me worried and uncertain for this case.,worried
From my perspective. I became emotional while reading this. I feel sick and weak today for this release.,"emotional,sick"
In this project I am confused by conflicting instructions for this case.,confused
From my perspective This makes me angry and I want immediate action right now.,anger
In this project The patient looks sick and tired for this release.,sick
From my perspective the tone is panic for this case.,fear
In this project The room was tensed before the decision for this release.,tensed
From my perspective I am scared this situation may get worse today.,fear
From my perspective the tone is excited for this release.,joy
In this situation I am confused by conflicting instructions for our team.,confused
In this project. I am hopeful that this will improve. Your words were sweet and comforting. This week feels depressing and heavy today.,"depressed,hopeful,sweet"
During this week I am frustrated by repeated blockers for this release.,frustrated
In this situation the tone is exhausted for this release.,stressed
In this project I feel deeply sad about this loss today.,sad
In today's discussion the tone is cherish right now.,love
In this project the tone is calm for this case.,calm
From my perspective. I feel calm after the clarification. the tone feels sad for this case.,"calm,sad"
During this week There is love and care in this message right now.,love
In this project the tone is argue today.,fight
In today's discussion This makes me worried and uncertain for our team.,worried
In this situation the tone is furious today.,anger
In this situation I am stressed by constant pressure for this release.,stressed
From my perspective This process is frustrating and slow today.,frustrated
During this week I am stressed by constant pressure today.,stressed
In today's discussion I am worried about the final result for our team.,worried
In today's discussion This is a painful and sad moment today.,sad
During this week This week feels depressing and heavy for this release.,depressed
In this project This is a painful and sad moment for our team.,sad
From my perspective. the tone feels uncertain. the tone feels optimistic for this release.,"hopeful,worried"
In this project. There is love and care in this message. We are thankful and grateful for your help for this release.,"grateful,love"
In this situation We are thankful and grateful for your help right now.,grateful
From my perspective This process is frustrating and slow right now.,frustrated
From my perspective I became emotional while reading this today.,emotional
In this project the tone is drama for our team.,drama
In today's discussion. the tone feels good. the tone feels unclear right now.,"confused,nice"
In this situation I feel sick and weak today for our team.,sick
From my perspective. You handled this in a very nice way. the tone feels sweet right now.,"nice,sweet"
From my perspective the tone is thankful right now.,grateful
In today's discussion. This process is frustrating and slow. the tone feels polite for this release.,"frustrated,polite"
During this week The patient looks sick and tired for this release.,sick
During this week. The argument escalated into a fight. the tone feels respectful for this case.,"fight,polite"
In today's discussion I am furious about the repeated failures and delays right now.,anger
In this project the tone is grateful for this release.,grateful
In today's discussion the tone is thank you for this case.,polite
In this situation. the tone feels peaceful. the tone feels friendly. the tone feels pain right now.,"calm,nice,sick"
In this situation I feel depressed and disconnected today.,depressed
In this situation I love how you supported me today right now.,love
In today's discussion I feel sick and weak today right now.,sick
During this week I am worried about the final result for our team.,worried
In this project I am furious about the repeated failures and delays today.,anger
During this week This makes me worried and uncertain for our team.,worried
In this project There is constant drama around this issue today.,drama
In this project I am frustrated by repeated blockers for this release.,frustrated
In this project. the tone feels chaotic. the tone feels affection for this case.,"drama,love"
From my perspective I felt pure joy after hearing the news right now.,joy
"From my perspective. We remain hopeful about recovery. It felt gentle, warm, and sweet for this release.","hopeful,sweet"
In this project This makes me angry and I want immediate action for this release.,anger
During this week the tone is deeply moved for this case.,emotional
From my perspective the tone is composed right now.,calm
In this project We are thankful and grateful for your help today.,grateful
In this project the tone is appreciate for this release.,grateful
"In today's discussion It felt gentle, warm, and sweet for this release.",sweet
In today's discussion The patient looks sick and tired for this case.,sick
In today's discussion. You handled this in a very nice way. He remained polite under pressure today.,"nice,polite"
In this project the tone is optimistic today.,hopeful
In this project I am tensed and cannot relax right now.,tensed
In this situation Your words were sweet and comforting for this release.,sweet
During this week I am confused by conflicting instructions for this release.,confused
In this project There is fear about what could happen next today.,fear
In this project I am furious about the repeated failures and delays today.,anger
In today's discussion The interaction was nice and respectful today.,nice
In this situation the tone is attack for this release.,fight
In this situation This makes me worried and uncertain for our team.,worried
In today's discussion. I became emotional while reading this. This result brings joy and excitement. the tone feels composed for this release.,"calm,emotional,joy"
During this week the tone is steady for our team.,calm
In this situation. the tone feels intense. This workload is stressful and draining for this release.,"emotional,stressed"
In today's discussion the tone is appreciate for this release.,grateful
In today's discussion. I feel calm after the clarification. I am stressed by constant pressure today.,"calm,stressed"
In this situation Your words were sweet and comforting for this release.,sweet
From my perspective The argument escalated into a fight for this case.,fight
During this week the tone is steady for this case.,calm
During this week the tone is hopeful for this release.,hopeful
In today's discussion We are thankful and grateful for your help for this case.,grateful
In this project the tone is numb for this case.,depressed
From my perspective This makes me worried and uncertain for this release.,worried
In today's discussion the tone is helpful for our team.,nice
In this project This makes me angry and I want immediate action right now.,anger
From my perspective. This process is frustrating and slow. This makes me angry and I want immediate action for this case.,"anger,frustrated"
In this situation We remain hopeful about recovery right now.,hopeful
In this situation the tone is optimistic right now.,hopeful
In this project the tone is fed up for our team.,frustrated
In this project. the tone feels polite. the tone feels dramatic. This makes me worried and uncertain for this release.,"drama,polite,worried"
During this week I love how you supported me today for this release.,love
In this project I feel calm after the clarification for this release.,calm
From my perspective. the tone feels delighted. the tone feels anxious today.,"joy,worried"
In this situation the tone is good for our team.,nice
In this situation the tone is sorrow for this release.,sad
During this week the tone is affection for our team.,love
In this situation The interaction was nice and respectful right now.,nice
From my perspective. the tone feels scene. This week feels depressing and heavy right now.,"depressed,drama"
In this project. We remain hopeful about recovery. I am furious about the repeated failures and delays for this release.,"anger,hopeful"
In this situation I am confused by conflicting instructions today.,confused
From my perspective I feel calm after the clarification for this release.,calm
In this project I felt pure joy after hearing the news today.,joy
In this project the tone is tears right now.,emotional
In this project. The discussion turned into unnecessary drama. I am tensed and cannot relax. the tone feels cherish for this release.,"drama,love,tensed"
In this project There is fear about what could happen next today.,fear
During this week the tone is stiff for this release.,tensed
In this situation Your words were sweet and comforting for this release.,sweet
During this week The patient looks sick and tired for this release.,sick
From my perspective We are thankful and grateful for your help today.,grateful
